Year,Rank,Company,Revenue (in millions),Profit (in millions)
2009,432,Perini,"5,660.30",-75.1
2009,433,DaVita,"5,660.20",374.2
2009,434,Expeditors International of Washington,"5,633.90",301
2009,435,SunGard Data Systems,"5,596.00",-242
2009,436,CH2M Hill,"5,589.90",32.1
2009,437,Kelly Services,"5,517.30",-82.2
2009,438,BJ Services,"5,426.30",609.4
2009,439,Graybar Electric,"5,400.20",87.4
2009,440,Charles Schwab,"5,393.00","1,212.00"
2009,441,Western & Southern Financial Group,"5,391.70",109.1
2009,442,Jarden,"5,383.30",-58.9
2009,443,El Paso,"5,363.00",-823
2009,444,Gilead Sciences,"5,335.80","2,011.20"
2009,445,Scana,"5,319.00",346
2009,446,NCR,"5,315.00",228
2009,447,Harris,"5,311.00",444.2
2009,448,Allegheny Technologies,"5,309.70",565.9
2009,449,Host Hotels & Resorts,"5,294.00",427
2009,450,Blockbuster,"5,287.90",-374.1
2009,451,Western Union,"5,282.00",919
2009,452,Clorox,"5,273.00",461
2009,453,BorgWarner,"5,263.90",-35.6
2009,454,Foot Locker,"5,237.00",-80
2009,455,Barnes & Noble,"5,235.30",75.9
2009,456,Unisys,"5,233.20",-130.1
2009,457,Freescale Semiconductor,"5,226.00","-7,913.00"
2009,458,AECOM Technology,"5,216.20",147.2
2009,459,Spectra Energy,"5,184.00","1,129.00"
2009,460,FMC Technologies,"5,163.40",361.3
2009,461,Advance Auto Parts,"5,142.30",238
2009,462,Mylan,"5,137.60",-181.2
2009,463,Hershey,"5,132.80",311.4
2009,464,CB Richard Ellis Group,"5,130.10","-1,012.10"
2009,465,Telephone & Data Systems,"5,092.00",93.5
2009,466,Icahn Enterprises,"5,088.00",-43
2009,467,Universal Health Services,"5,080.90",199.4
2009,468,PetSmart,"5,065.30",192.7
2009,469,BlackRock,"5,063.90",786.4
2009,470,Con-way,"5,036.80",73.7
2009,471,Lubrizol,"5,027.80",-66.1
2009,472,CVR Energy,"5,016.10",163.9
2009,473,MDU Resources Group,"5,003.30",293.7
2009,474,MasterCard,"4,991.60",-253.9
2009,475,United Stationers,"4,986.90",98.4
2009,476,Auto-Owners Insurance,"4,951.80",205.8
2009,477,NYSE Euronext,"4,951.00",-738
2009,478,PepsiAmericas,"4,937.20",226.4
2009,479,Crosstex Energy,"4,915.60",24.2
2009,480,Manitowoc,"4,884.30",-10.7
2009,481,Polo Ralph Lauren,"4,880.10",419.8
2009,482,Fiserv,"4,873.00",569
2009,483,Sealed Air,"4,843.50",179.9
2009,484,Insight Enterprises,"4,834.40",-151.6
2009,485,NuStar Energy,"4,828.80",254
2009,486,Asbury Automotive Group,"4,785.00",-338
2009,487,Molson Coors Brewing,"4,774.30",388
2009,488,Rockwell Collins,"4,769.00",678
2009,489,Realogy,"4,725.00","-1,912.00"
